source,source_url,fetched_at,page_sha256,model_year,title_prefix,trim_raw,engine_cc,official_price,market_price,effective_date,page_updated_label,row_type
Hatla2ee,https://eg.hatla2ee.com/en/new-car/baic/BJ30,"Fri, 25 Sep 2026 13:08:43 GMT",77b06c2fc3201eb978754167396a39206147c58d73ce2691ee11be6dcf6f17aa,2026,Baic BJ30,A/T / PRO,1500 CC,"1,574,900",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/baic/BJ30,"Fri, 25 Sep 2026 13:08:43 GMT",77b06c2fc3201eb978754167396a39206147c58d73ce2691ee11be6dcf6f17aa,2026,Baic BJ30,A/T / ULTRA,1500 CC,"1,674,900",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/baic/BJ30,"Fri, 25 Sep 2026 13:08:43 GMT",77b06c2fc3201eb978754167396a39206147c58d73ce2691ee11be6dcf6f17aa,2026,Baic BJ30,A/T / Off-Road,1500 CC,"1,774,900",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 13:08:45 GMT",8a7c4a03dded6d11c1de4037fa3ce4b9a824c368c1bd35157275f88933bfa42a,2026,Byd Sealion 6, A/T / EV,,"1,749,900",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 13:08:45 GMT",8a7c4a03dded6d11c1de4037fa3ce4b9a824c368c1bd35157275f88933bfa42a,2027,Byd Sealion 6,A/T / EV Luxury,,"1,799,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 13:08:45 GMT",8a7c4a03dded6d11c1de4037fa3ce4b9a824c368c1bd35157275f88933bfa42a,2027,Byd Sealion 6, A/T / DM-i Ultra,1500 CC,"1,949,900",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 13:08:45 GMT",8a7c4a03dded6d11c1de4037fa3ce4b9a824c368c1bd35157275f88933bfa42a,2027,Byd Sealion 6, A/T / DM-i Luxury,1500 CC,"2,149,900",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max,"Fri, 25 Sep 2026 13:08:46 GMT",bfddf719c95a5ebc3cdc5b95e5415520fc454a029626419111533866145697e5,2027,Chery Tiggo 8 Pro Max,A/T / Luxury,1600 CC,"1,620,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max,"Fri, 25 Sep 2026 13:08:46 GMT",bfddf719c95a5ebc3cdc5b95e5415520fc454a029626419111533866145697e5,2027,Chery Tiggo 8 Pro Max,A/T / Flagship,1600 CC,"1,720,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/citroen/C5-Aircross,"Fri, 25 Sep 2026 13:08:47 GMT",6a109f4e0ab45ed59fd05ddc5818d6b86b6870718c80e27797e4255f4ea4d200,2027,Citroën C5 Aircross, A/T / Advanced,1600 CC,"1,695,000",,,,
