source,trim_url,fetched_at,page_sha256,brand,model,title,trim_raw,model_year,spec_id,spec_label,value,via
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6/51060,"Fri, 25 Sep 2026 12:39:13 GMT",18136fd0846a1f93f1c66acec1c1c6673c50c2e703bdb5583d1bc72c251f2aba,,,Byd Sealion 6  A/T / EV 2026 Prices & Features,,2026,h2:Transmission,Transmission,automatic,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6/51060,"Fri, 25 Sep 2026 12:39:13 GMT",18136fd0846a1f93f1c66acec1c1c6673c50c2e703bdb5583d1bc72c251f2aba,,,Byd Sealion 6  A/T / EV 2026 Prices & Features,,2026,h2:Fuel Type,Fuel Type,Electric,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6/51060,"Fri, 25 Sep 2026 12:39:13 GMT",18136fd0846a1f93f1c66acec1c1c6673c50c2e703bdb5583d1bc72c251f2aba,,,Byd Sealion 6  A/T / EV 2026 Prices & Features,,2026,h2:Body Type,Body Type,SUV,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6/51060,"Fri, 25 Sep 2026 12:39:13 GMT",18136fd0846a1f93f1c66acec1c1c6673c50c2e703bdb5583d1bc72c251f2aba,,,Byd Sealion 6  A/T / EV 2026 Prices & Features,,2026,h2:Horse power,Horse power,215,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6/51060,"Fri, 25 Sep 2026 12:39:13 GMT",18136fd0846a1f93f1c66acec1c1c6673c50c2e703bdb5583d1bc72c251f2aba,,,Byd Sealion 6  A/T / EV 2026 Prices & Features,,2026,h2:Max speed,Max speed,175,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6/51060,"Fri, 25 Sep 2026 12:39:13 GMT",18136fd0846a1f93f1c66acec1c1c6673c50c2e703bdb5583d1bc72c251f2aba,,,Byd Sealion 6  A/T / EV 2026 Prices & Features,,2026,h2:Length,Length,"4,785",car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6/51060,"Fri, 25 Sep 2026 12:39:13 GMT",18136fd0846a1f93f1c66acec1c1c6673c50c2e703bdb5583d1bc72c251f2aba,,,Byd Sealion 6  A/T / EV 2026 Prices & Features,,2026,h2:Width,Width,"1,890",car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6/51060,"Fri, 25 Sep 2026 12:39:13 GMT",18136fd0846a1f93f1c66acec1c1c6673c50c2e703bdb5583d1bc72c251f2aba,,,Byd Sealion 6  A/T / EV 2026 Prices & Features,,2026,h2:Height,Height,"1,668",car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6/51060,"Fri, 25 Sep 2026 12:39:13 GMT",18136fd0846a1f93f1c66acec1c1c6673c50c2e703bdb5583d1bc72c251f2aba,,,Byd Sealion 6  A/T / EV 2026 Prices & Features,,2026,h2:Wheel Base,Wheel Base,2765,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6/51060,"Fri, 25 Sep 2026 12:39:13 GMT",18136fd0846a1f93f1c66acec1c1c6673c50c2e703bdb5583d1bc72c251f2aba,,,Byd Sealion 6  A/T / EV 2026 Prices & Features,,2026,h2:Trunk Size,Trunk Size,425,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6/51060,"Fri, 25 Sep 2026 12:39:13 GMT",18136fd0846a1f93f1c66acec1c1c6673c50c2e703bdb5583d1bc72c251f2aba,,,Byd Sealion 6  A/T / EV 2026 Prices & Features,,2026,h2:Seats,Seats,5,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6/51060,"Fri, 25 Sep 2026 12:39:13 GMT",18136fd0846a1f93f1c66acec1c1c6673c50c2e703bdb5583d1bc72c251f2aba,,,Byd Sealion 6  A/T / EV 2026 Prices & Features,,2026,h2:Traction Type,Traction Type,Front traction,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6/51060,"Fri, 25 Sep 2026 12:39:13 GMT",18136fd0846a1f93f1c66acec1c1c6673c50c2e703bdb5583d1bc72c251f2aba,,,Byd Sealion 6  A/T / EV 2026 Prices & Features,,2026,h2:Torque Of Newton,Torque Of Newton,310,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6/51060,"Fri, 25 Sep 2026 12:39:13 GMT",18136fd0846a1f93f1c66acec1c1c6673c50c2e703bdb5583d1bc72c251f2aba,,,Byd Sealion 6  A/T / EV 2026 Prices & Features,,2026,h2:Battery Capacity,Battery Capacity,72,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6/51060,"Fri, 25 Sep 2026 12:39:13 GMT",18136fd0846a1f93f1c66acec1c1c6673c50c2e703bdb5583d1bc72c251f2aba,,,Byd Sealion 6  A/T / EV 2026 Prices & Features,,2026,h2:Battery Range,Battery Range,420,car-details
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6/51060,"Fri, 25 Sep 2026 12:39:13 GMT",18136fd0846a1f93f1c66acec1c1c6673c50c2e703bdb5583d1bc72c251f2aba,,,Byd Sealion 6  A/T / EV 2026 Prices & Features,,2026,h2:Acceleration,Acceleration,9.3,car-details
