source,source_url,fetched_at,page_sha256,model_year,title_prefix,trim_raw,engine_cc,official_price,market_price,effective_date,page_updated_label,row_type
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 12:37:53 GMT",18398c7c700ee86f0687896955e338e8d592d22432c874da9c8e9f5a21dd4bc5,2026,Byd Sealion 6, A/T / EV,,"1,749,900",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 12:37:53 GMT",18398c7c700ee86f0687896955e338e8d592d22432c874da9c8e9f5a21dd4bc5,2027,Byd Sealion 6,A/T / EV Luxury,,"1,799,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 12:37:53 GMT",18398c7c700ee86f0687896955e338e8d592d22432c874da9c8e9f5a21dd4bc5,2027,Byd Sealion 6, A/T / DM-i Ultra,1500 CC,"1,949,900",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 12:37:53 GMT",18398c7c700ee86f0687896955e338e8d592d22432c874da9c8e9f5a21dd4bc5,2027,Byd Sealion 6, A/T / DM-i Luxury,1500 CC,"2,149,900",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max,"Fri, 25 Sep 2026 12:37:56 GMT",e870161ee10060175496ebbfd421afd5f40ee940ef8f5fbced8e63301ff4c987,2027,Chery Tiggo 8 Pro Max,A/T / Luxury,1600 CC,"1,620,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max,"Fri, 25 Sep 2026 12:37:56 GMT",e870161ee10060175496ebbfd421afd5f40ee940ef8f5fbced8e63301ff4c987,2027,Chery Tiggo 8 Pro Max,A/T / Flagship,1600 CC,"1,720,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/citroen/C5-Aircross,"Fri, 25 Sep 2026 12:37:58 GMT",b45fed8dcfba36f8ceae414687dd68ccac29a228cd19e98300237b3851b05d33,2027,Citroën C5 Aircross, A/T / Advanced,1600 CC,"1,695,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/citroen/C5-Aircross,"Fri, 25 Sep 2026 12:37:58 GMT",b45fed8dcfba36f8ceae414687dd68ccac29a228cd19e98300237b3851b05d33,2027,Citroën C5 Aircross, A/T / Ultimate,1600 CC,"1,935,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/citroen/C5-Aircross,"Fri, 25 Sep 2026 12:37:58 GMT",b45fed8dcfba36f8ceae414687dd68ccac29a228cd19e98300237b3851b05d33,2026,Citroën C5 Aircross,A/T / Shine Entry,1600 CC,"1,710,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/citroen/C5-Aircross,"Fri, 25 Sep 2026 12:37:58 GMT",b45fed8dcfba36f8ceae414687dd68ccac29a228cd19e98300237b3851b05d33,2026,Citroën C5 Aircross,A/T / Shine,1600 CC,"1,850,000",,,,
