source,source_url,fetched_at,page_sha256,model_year,title_prefix,trim_raw,engine_cc,official_price,market_price,effective_date,page_updated_label,row_type
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 10:28:05 GMT",ad13d7dcf92c52a3557e5d04d24eecc57d691380ab6dee2a4b6f5cbb1d8ca99a,2026,Byd Sealion 6, A/T / EV,,"1,749,900",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 10:28:05 GMT",ad13d7dcf92c52a3557e5d04d24eecc57d691380ab6dee2a4b6f5cbb1d8ca99a,2027,Byd Sealion 6,A/T / EV Luxury,,"1,799,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 10:28:05 GMT",ad13d7dcf92c52a3557e5d04d24eecc57d691380ab6dee2a4b6f5cbb1d8ca99a,2027,Byd Sealion 6, A/T / DM-i Ultra,1500 CC,"1,949,900",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/byd/sealion-6,"Fri, 25 Sep 2026 10:28:05 GMT",ad13d7dcf92c52a3557e5d04d24eecc57d691380ab6dee2a4b6f5cbb1d8ca99a,2027,Byd Sealion 6, A/T / DM-i Luxury,1500 CC,"2,149,900",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max,"Fri, 25 Sep 2026 10:28:05 GMT",087b41c225f5eeca5f62f211731bf9ba09e7b1b2007d727703ad28b78ba3190a,2027,Chery Tiggo 8 Pro Max,A/T / Luxury,1600 CC,"1,620,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/chery/Tiggo-8-Pro-Max,"Fri, 25 Sep 2026 10:28:05 GMT",087b41c225f5eeca5f62f211731bf9ba09e7b1b2007d727703ad28b78ba3190a,2027,Chery Tiggo 8 Pro Max,A/T / Flagship,1600 CC,"1,720,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/citroen/C5-Aircross,"Fri, 25 Sep 2026 10:28:05 GMT",be1c612bf1e7dd14851ede45eed7650991da9a1b7c8d93035e9f122a7cb7099c,2027,Citroën C5 Aircross, A/T / Advanced,1600 CC,"1,695,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/citroen/C5-Aircross,"Fri, 25 Sep 2026 10:28:05 GMT",be1c612bf1e7dd14851ede45eed7650991da9a1b7c8d93035e9f122a7cb7099c,2027,Citroën C5 Aircross, A/T / Ultimate,1600 CC,"1,935,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/citroen/C5-Aircross,"Fri, 25 Sep 2026 10:28:05 GMT",be1c612bf1e7dd14851ede45eed7650991da9a1b7c8d93035e9f122a7cb7099c,2026,Citroën C5 Aircross,A/T / Shine Entry,1600 CC,"1,710,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/citroen/C5-Aircross,"Fri, 25 Sep 2026 10:28:05 GMT",be1c612bf1e7dd14851ede45eed7650991da9a1b7c8d93035e9f122a7cb7099c,2026,Citroën C5 Aircross,A/T / Shine,1600 CC,"1,850,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/deepal/Deepal_S05,"Fri, 25 Sep 2026 10:28:05 GMT",def7c2c78e9037d1a4b2905d2e6b6dd2f3abc3ea1df90b65f875cbb5c0df1d5e,2026,Deepal S 05,A/T / REEV,1500 CC,"1,599,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/deepal/Deepal_S05,"Fri, 25 Sep 2026 10:28:05 GMT",def7c2c78e9037d1a4b2905d2e6b6dd2f3abc3ea1df90b65f875cbb5c0df1d5e,2026,Deepal S 05,A/T / BEV,,"1,750,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/haval/haval-H7,"Fri, 25 Sep 2026 10:28:05 GMT",3f3f0e2489e45c5e66074694d8f2b430a47bab016d9a6dd70c57f368fb54a6a7,2027,Haval H7,A/T / Ultra Black,1500 CC,"1,725,000",,,,
Hatla2ee,https://eg.hatla2ee.com/en/new-car/hyundai/tucson,"Fri, 25 Sep 2026 10:28:05 GMT",79ecc76ad939306d633d814d25dbab568e189a39ab35954a66b50f1ac128835f,2027,Hyundai Tucson,A/T / SHADOW,1600 CC,"1,775,000",,,,
